2025-03-28 16:41:32,737 | INFO | Starting FIM monitoring on: Monitor
2025-03-28 16:41:32,864 | INFO | Baseline created successfully.
2025-03-28 16:43:21,651 | WARNING | Critical file added: brick.dll
2025-03-28 16:43:21,652 | WARNING | Critical file deleted: wall.dll
2025-03-28 16:43:21,672 | WARNING | Critical file added: brick.dll
2025-03-28 16:43:21,673 | WARNING | Critical file deleted: wall.dll
2025-03-28 16:44:22,644 | WARNING | Critical file added: brick.dll
2025-03-28 16:44:22,645 | WARNING | Critical file deleted: wall.dll
2025-03-28 16:46:03,997 | INFO | Baseline created successfully.
2025-03-28 16:46:03,998 | INFO | Admin modified critical file. Baseline updated: wall.dll
2025-03-28 16:47:19,944 | INFO | Baseline created successfully.
2025-03-28 16:47:19,968 | INFO | Admin modified critical file. Baseline updated: workers.json
2025-03-28 16:49:12,913 | INFO | Starting FIM monitoring on: Monitor
2025-03-28 16:51:00,980 | WARNING | Critical file modified: workers.json
2025-03-28 16:51:01,167 | INFO | Baseline created successfully.
2025-03-28 16:51:01,168 | INFO | Admin modified critical file. Baseline updated: workers.json
2025-03-29 15:13:00,658 | INFO | Starting FIM monitoring on: Monitor
2025-03-29 17:05:21,545 | INFO | Starting FIM monitoring on: Monitor
2025-03-29 21:31:56,156 | INFO | Starting FIM monitoring on: Monitor
